"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"1","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,1,0.0025,100,"Spearman",0.365248797168287
"2","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,2,0.0025,100,"Spearman",0.333771394129917
"3","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,3,0.0025,100,"Spearman",0.386695981027913
"4","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,4,0.0025,100,"Spearman",0.388526759791745
"5","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,5,0.0025,100,"Spearman",0.352663607492746
"6","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,6,0.0025,100,"Spearman",0.368466947445774
"7","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,7,0.0025,100,"Spearman",0.411352715271601
"8","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,8,0.0025,100,"Spearman",0.328570324230653
"9","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,9,0.0025,100,"Spearman",0.38420245398773
"10","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,10,0.0025,100,"Spearman",0.338445839395446
"11","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,1,0.0025,100,"Spearman",0.491249118736899
"12","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,2,0.0025,100,"Spearman",0.509553273533112
"13","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,3,0.0025,100,"Spearman",0.512410442894622
"14","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,4,0.0025,100,"Spearman",0.468263661918324
"15","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,5,0.0025,100,"Spearman",0.490644567809729
"16","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,6,0.0025,100,"Spearman",0.480910577957086
"17","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,7,0.0025,100,"Spearman",0.448877234862306
"18","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,8,0.0025,100,"Spearman",0.49847864538548
"19","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,9,0.0025,100,"Spearman",0.496770183705898
"20","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,10,0.0025,100,"Spearman",0.468571039848662
"21","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,1,0.0025,100,"Spearman",0.474832936477598
"22","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,2,0.0025,100,"Spearman",0.452990633689351
"23","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,3,0.0025,100,"Spearman",0.455425613505642
"24","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,4,0.0025,100,"Spearman",0.436407489295365
"25","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,5,0.0025,100,"Spearman",0.48829903028838
"26","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,6,0.0025,100,"Spearman",0.501465695318128
"27","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,7,0.0025,100,"Spearman",0.447086544059806
"28","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,8,0.0025,100,"Spearman",0.449962118921731
"29","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,9,0.0025,100,"Spearman",0.464479201534544
"30","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,10,0.0025,100,"Spearman",0.449087946189749
"31","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,1,0.0025,100,"Spearman",0.324526575043527
"32","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,2,0.0025,100,"Spearman",0.256938947204325
"33","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,3,0.0025,100,"Spearman",0.24273027496166
"34","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,4,0.0025,100,"Spearman",0.257090905423848
"35","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,5,0.0025,100,"Spearman",0.255447841015347
"36","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,6,0.0025,100,"Spearman",0.271947754003678
"37","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,7,0.0025,100,"Spearman",0.278544503617916
"38","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,8,0.0025,100,"Spearman",0.250252788432876
"39","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,9,0.0025,100,"Spearman",0.24067224630299
"40","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,10,0.0025,100,"Spearman",0.258258629799849
"41","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,1,0.0025,100,"Spearman",0.365743605509957
"42","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,2,0.0025,100,"Spearman",0.325353703967514
"43","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,3,0.0025,100,"Spearman",0.324596936289054
"44","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,4,0.0025,100,"Spearman",0.385838945689735
"45","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,5,0.0025,100,"Spearman",0.325568882829783
"46","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,6,0.0025,100,"Spearman",0.379874517270682
"47","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,7,0.0025,100,"Spearman",0.343210800380957
"48","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,8,0.0025,100,"Spearman",0.421686039142763
"49","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,9,0.0025,100,"Spearman",0.396974513619569
"50","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,10,0.0025,100,"Spearman",0.345507224867683
"51","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,1,0.0025,100,"Pearson",0.400161613047512
"52","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,2,0.0025,100,"Pearson",0.367902507144587
"53","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,3,0.0025,100,"Pearson",0.41369900433775
"54","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,4,0.0025,100,"Pearson",0.358351813148915
"55","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,5,0.0025,100,"Pearson",0.33988646675914
"56","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,6,0.0025,100,"Pearson",0.394887325864107
"57","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,7,0.0025,100,"Pearson",0.413688382002916
"58","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,8,0.0025,100,"Pearson",0.361199152090015
"59","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,9,0.0025,100,"Pearson",0.366898404550323
"60","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,10,0.0025,100,"Pearson",0.370476491782181
"61","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,1,0.0025,100,"Pearson",0.451412774017077
