"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"1","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"Spearman",0.18051948051948
"2","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"Spearman",0.250550401978973
"3","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"Spearman",0.19687074829932
"4","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"Spearman",0.215250463821892
"5","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"Spearman",0.177155225726654
"6","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"Spearman",0.17965367965368
"7","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"Spearman",0.251453308596166
"8","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"Spearman",0.231638837353123
"9","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,9,0.0025,100,"Spearman",0.215497835497835
"10","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,10,0.0025,100,"Spearman",0.218354978354978
"11","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,1,0.0025,100,"Spearman",0.214211502782931
"12","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,2,0.0025,100,"Spearman",0.148274582560297
"13","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,3,0.0025,100,"Spearman",0.239554730983302
"14","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,4,0.0025,100,"Spearman",0.182102659245516
"15","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,5,0.0025,100,"Spearman",0.172220160791589
"16","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,6,0.0025,100,"Spearman",0.237365491651206
"17","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,7,0.0025,100,"Spearman",0.174817563388992
"18","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,8,0.0025,100,"Spearman",0.264168212739641
"19","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,9,0.0025,100,"Spearman",0.182028447742733
"20","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,10,0.0025,100,"Spearman",0.21291280148423
"21","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,1,0.0025,100,"Spearman",0.288843537414966
"22","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,2,0.0025,100,"Spearman",0.335943104514533
"23","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,3,0.0025,100,"Spearman",0.22100185528757
"24","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,4,0.0025,100,"Spearman",0.296178107606679
"25","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,5,0.0025,100,"Spearman",0.247965367965368
"26","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,6,0.0025,100,"Spearman",0.274124922696351
"27","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,7,0.0025,100,"Spearman",0.270859616573902
"28","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,8,0.0025,100,"Spearman",0.168484848484848
"29","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,9,0.0025,100,"Spearman",0.260828695114409
"30","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,10,0.0025,100,"Spearman",0.282201607915894
"31","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,1,0.0025,100,"Spearman",0.0948670377241806
"32","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,2,0.0025,100,"Spearman",0.108917748917749
"33","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,3,0.0025,100,"Spearman",0.0743106812331358
"34","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,4,0.0025,100,"Spearman",0.126097711811998
"35","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,5,0.0025,100,"Spearman",0.12447742733457
"36","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,6,0.0025,100,"Spearman",0.110723562152134
"37","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,7,0.0025,100,"Spearman",0.112467532467532
"38","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,8,0.0025,100,"Spearman",0.0818429189857761
"39","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,9,0.0025,100,"Spearman",0.13713048855906
"40","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,10,0.0025,100,"Spearman",0.101496598639456
"41","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,1,0.0025,100,"Spearman",0.357241805813234
"42","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,2,0.0025,100,"Spearman",0.341249226963513
"43","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,3,0.0025,100,"Spearman",0.305615337043908
"44","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,4,0.0025,100,"Spearman",0.342028447742733
"45","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,5,0.0025,100,"Spearman",0.271700680272109
"46","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,6,0.0025,100,"Spearman",0.324242424242424
"47","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,7,0.0025,100,"Spearman",0.329066171923315
"48","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,8,0.0025,100,"Spearman",0.330228818800247
"49","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,9,0.0025,100,"Spearman",0.314050711193568
"50","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,10,0.0025,100,"Spearman",0.297835497835498
"51","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"Pearson",0.09030131169451
"52","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"Pearson",0.143212353791857
"53","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"Pearson",0.114763370150781
"54","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"Pearson",0.136042818151959
"55","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"Pearson",0.130755199051607
"56","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"Pearson",0.0907803578236186
"57","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"Pearson",0.14045093207695
"58","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"Pearson",0.140232783455953
"59","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,9,0.0025,100,"Pearson",0.141629080733075
"60","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,10,0.0025,100,"Pearson",0.0998965968384936
"61","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,1,0.0025,100,"Pearson",0.19964637152567
"62","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,2,0.0025,100,"Pearson",0.162446986900988
"63","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,3,0.0025,100,"Pearson",0.206356826603935
"64","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,4,0.0025,100,"Pearson",0.171839400853163
"65","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,5,0.0025,100,"Pearson",0.172990270817701
"66","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,6,0.0025,100,"Pearson",0.199862452705004
"67","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,7,0.0025,100,"Pearson",0.174151495519656
"68","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,8,0.0025,100,"Pearson",0.240229552330061
"69","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,9,0.0025,100,"Pearson",0.186012316779645
"70","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,10,0.0025,100,"Pearson",0.185293395625811
"71","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,1,0.0025,100,"Pearson",0.258307863071975
"72","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,2,0.0025,100,"Pearson",0.30799231714921
"73","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,3,0.0025,100,"Pearson",0.238549688659404
"74","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,4,0.0025,100,"Pearson",0.292144631085464
"75","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,5,0.0025,100,"Pearson",0.260790482832701
"76","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,6,0.0025,100,"Pearson",0.263508499780675
"77","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,7,0.0025,100,"Pearson",0.26287410667468
"78","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,8,0.0025,100,"Pearson",0.237200633672828
"79","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,9,0.0025,100,"Pearson",0.259915512258274
"80","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,10,0.0025,100,"Pearson",0.291774649689682
"81","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,1,0.0025,100,"Pearson",0.113474194906901
"82","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,2,0.0025,100,"Pearson",0.129806222449235
"83","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,3,0.0025,100,"Pearson",0.105526488499832
"84","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,4,0.0025,100,"Pearson",0.110234148388373
"85","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,5,0.0025,100,"Pearson",0.144804919120626
"86","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,6,0.0025,100,"Pearson",0.120584848508889
"87","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,7,0.0025,100,"Pearson",0.137416453880758
"88","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,8,0.0025,100,"Pearson",0.102915656142143
