"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"1","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,1,0.0025,100,"Spearman",0.0177181058637022
"2","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,2,0.0025,100,"Spearman",0.0162709726099129
"3","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,3,0.0025,100,"Spearman",-0.0207917179454684
"4","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,4,0.0025,100,"Spearman",0.0542613126869541
"5","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,5,0.0025,100,"Spearman",-0.0155474059830183
"6","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,6,0.0025,100,"Spearman",-0.00342611889999687
"7","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,7,0.0025,100,"Spearman",0.000556589712995882
"8","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,8,0.0025,100,"Spearman",-0.0680647375692519
"9","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,9,0.0025,100,"Spearman",0.0774339977380159
"10","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,10,0.0025,100,"Spearman",0.00685223779999374
"11","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,1,0.0025,100,"Spearman",-0.11894322166722
"12","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,2,0.0025,100,"Spearman",-0.0823196185520909
"13","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,3,0.0025,100,"Spearman",-0.0269451264391451
"14","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,4,0.0025,100,"Spearman",-0.0818619781214054
"15","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,5,0.0025,100,"Spearman",-0.0254670715346338
"16","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,6,0.0025,100,"Spearman",-0.0904087223809644
"17","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,7,0.0025,100,"Spearman",-0.0729256210627493
"18","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,8,0.0025,100,"Spearman",-0.0685038250095042
"19","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,9,0.0025,100,"Spearman",-0.074193408742351
"20","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,10,0.0025,100,"Spearman",-0.0684481660382047
"21","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,1,0.0025,100,"Spearman",0.150161720236144
"22","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,2,0.0025,100,"Spearman",0.229413911036614
"23","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,3,0.0025,100,"Spearman",0.214781785914966
"24","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,4,0.0025,100,"Spearman",0.181602854690267
"25","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,5,0.0025,100,"Spearman",0.112678495230944
"26","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,6,0.0025,100,"Spearman",0.18239444894875
"27","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,7,0.0025,100,"Spearman",0.2117081738332
"28","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,8,0.0025,100,"Spearman",0.154602069279823
"29","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,9,0.0025,100,"Spearman",0.161973790811946
"30","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,10,0.0025,100,"Spearman",0.145430707675679
"31","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,1,0.0025,100,"Spearman",0.114255146120355
"32","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,2,0.0025,100,"Spearman",0.160835376733536
"33","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,3,0.0025,100,"Spearman",0.140946632488715
"34","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,4,0.0025,100,"Spearman",0.0924925556360502
"35","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,5,0.0025,100,"Spearman",0.157873091754285
"36","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,6,0.0025,100,"Spearman",0.131849510976236
"37","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,7,0.0025,100,"Spearman",0.155281865436319
"38","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,8,0.0025,100,"Spearman",0.0752135906422601
"39","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,9,0.0025,100,"Spearman",0.205696368882767
"40","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,10,0.0025,100,"Spearman",0.165640586397163
"41","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,1,0.0025,100,"Spearman",0.182796995650991
"42","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,2,0.0025,100,"Spearman",0.126414283378507
"43","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,3,0.0025,100,"Spearman",0.0753995862702782
"44","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,4,0.0025,100,"Spearman",0.192265234379649
"45","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,5,0.0025,100,"Spearman",0.13160913676327
"46","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,6,0.0025,100,"Spearman",0.143829410915999
"47","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,7,0.0025,100,"Spearman",0.0946823872865781
"48","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,8,0.0025,100,"Spearman",0.156612460852077
