"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"1","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,1,0.0025,100,"Spearman",0.359476558303462
"2","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,2,0.0025,100,"Spearman",0.38043525316283
"3","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,3,0.0025,100,"Spearman",0.374456163788096
"4","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,4,0.0025,100,"Spearman",0.408660535941865
"5","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,5,0.0025,100,"Spearman",0.417442284746911
"6","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,6,0.0025,100,"Spearman",0.376273198975649
"7","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,7,0.0025,100,"Spearman",0.354108559738124
"8","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,8,0.0025,100,"Spearman",0.361058028294381
"9","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,9,0.0025,100,"Spearman",0.332191293706375
"10","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,10,0.0025,100,"Spearman",0.405481790247644
"11","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,1,0.0025,100,"Spearman",0.213076887423231
"12","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,2,0.0025,100,"Spearman",0.220182748677347
"13","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,3,0.0025,100,"Spearman",0.218843058017314
"14","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,4,0.0025,100,"Spearman",0.250592156954672
"15","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,5,0.0025,100,"Spearman",0.209502311439873
"16","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,6,0.0025,100,"Spearman",0.23705994220431
"17","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,7,0.0025,100,"Spearman",0.261327478811054
"18","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,8,0.0025,100,"Spearman",0.280990253320236
"19","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,9,0.0025,100,"Spearman",0.207758314160795
"20","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,10,0.0025,100,"Spearman",0.264790735819152
"21","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,1,0.0025,100,"Spearman",0.181146334528319
"22","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,2,0.0025,100,"Spearman",0.18008262316514
"23","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,3,0.0025,100,"Spearman",0.191442715927061
"24","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,4,0.0025,100,"Spearman",0.18768186077092
"25","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,5,0.0025,100,"Spearman",0.211146705590996
"26","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,6,0.0025,100,"Spearman",0.23547673897359
"27","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,7,0.0025,100,"Spearman",0.22269223277612
"28","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,8,0.0025,100,"Spearman",0.186155410248827
"29","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,9,0.0025,100,"Spearman",0.220719425359763
"30","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,10,0.0025,100,"Spearman",0.199329599979297
"31","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,1,0.0025,100,"Spearman",0.57502257298861
"32","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,2,0.0025,100,"Spearman",0.494155771908818
"33","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,3,0.0025,100,"Spearman",0.486145425893303
"34","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,4,0.0025,100,"Spearman",0.454551076733307
"35","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,5,0.0025,100,"Spearman",0.538049561845079
"36","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,6,0.0025,100,"Spearman",0.529047978370442
"37","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,7,0.0025,100,"Spearman",0.536122895809665
"38","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,8,0.0025,100,"Spearman",0.496153322899088
"39","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,9,0.0025,100,"Spearman",0.514335365968421
"40","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,10,0.0025,100,"Spearman",0.471638486597444
"41","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,1,0.0025,100,"Spearman",0.462021793749549
"42","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,2,0.0025,100,"Spearman",0.461706390961612
"43","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,3,0.0025,100,"Spearman",0.464099741528902
"44","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,4,0.0025,100,"Spearman",0.372997810762121
"45","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,5,0.0025,100,"Spearman",0.405224554447254
"46","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,6,0.0025,100,"Spearman",0.438484087653672
"47","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,7,0.0025,100,"Spearman",0.437265767080659
"48","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,8,0.0025,100,"Spearman",0.393845316607944
"49","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,9,0.0025,100,"Spearman",0.355904216529593
"50","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,10,0.0025,100,"Spearman",0.385570631700881
"51","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,1,0.0025,100,"Pearson",0.410148448730255
"52","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,2,0.0025,100,"Pearson",0.392621688474144
"53","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,3,0.0025,100,"Pearson",0.392949740771427
"54","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,4,0.0025,100,"Pearson",0.409179992833367
"55","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,5,0.0025,100,"Pearson",0.410438122195728
"56","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,6,0.0025,100,"Pearson",0.399607771409771
"57","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,7,0.0025,100,"Pearson",0.392534423307086
"58","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,8,0.0025,100,"Pearson",0.388939900911189
"59","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,9,0.0025,100,"Pearson",0.371519852310024
"60","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,10,0.0025,100,"Pearson",0.40619079703446
"61","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,1,0.0025,100,"Pearson",0.287763437269788
"62","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,2,0.0025,100,"Pearson",0.282556963540482
"63","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,3,0.0025,100,"Pearson",0.299968213585689
"64","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,4,0.0025,100,"Pearson",0.284216473704525
"65","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,5,0.0025,100,"Pearson",0.28887552070061
"66","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,6,0.0025,100,"Pearson",0.27602361406137
"67","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,7,0.0025,100,"Pearson",0.298129442855749
"68","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,8,0.0025,100,"Pearson",0.286575232825574
"69","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,9,0.0025,100,"Pearson",0.276785065958783
"70","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,10,0.0025,100,"Pearson",0.299537891795585
"71","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,1,0.0025,100,"Pearson",0.233817944645878
"72","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,2,0.0025,100,"Pearson",0.233593112012727
"73","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,3,0.0025,100,"Pearson",0.226047437092415
"74","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,4,0.0025,100,"Pearson",0.23696925166622
"75","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,5,0.0025,100,"Pearson",0.237783197992155
"76","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,6,0.0025,100,"Pearson",0.234558682421713
"77","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,7,0.0025,100,"Pearson",0.246363419587353
"78","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,8,0.0025,100,"Pearson",0.230966390605706
"79","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,9,0.0025,100,"Pearson",0.23925862899463
"80","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,10,0.0025,100,"Pearson",0.235006601366687
"81","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,1,0.0025,100,"Pearson",0.543234582995269
"82","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,2,0.0025,100,"Pearson",0.50087934986129
"83","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,3,0.0025,100,"Pearson",0.509933805682387
"84","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,4,0.0025,100,"Pearson",0.496262590769696
"85","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,5,0.0025,100,"Pearson",0.529968279886584
"86","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,6,0.0025,100,"Pearson",0.525620934659718
"87","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,7,0.0025,100,"Pearson",0.526590514320859
"88","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,8,0.0025,100,"Pearson",0.516593331121049
"89","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,9,0.0025,100,"Pearson",0.522482455080333
"90","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,10,0.0025,100,"Pearson",0.497845455333561
"91","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,1,0.0025,100,"Pearson",0.407078114768156
"92","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,2,0.0025,100,"Pearson",0.406923637121557
"93","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,3,0.0025,100,"Pearson",0.404548149778233
"94","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,4,0.0025,100,"Pearson",0.393636204959263
"95","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,5,0.0025,100,"Pearson",0.401750661154872
"96","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,6,0.0025,100,"Pearson",0.401687217094566
"97","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,7,0.0025,100,"Pearson",0.406761171679751
"98","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,8,0.0025,100,"Pearson",0.399371285889843
"99","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,9,0.0025,100,"Pearson",0.38803066923051
"100","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,10,0.0025,100,"Pearson",0.3964490579418
"101","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,1,0.0025,100,"R_squared",-0.0812000332026481
"102","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,2,0.0025,100,"R_squared",-0.0799502574514148
"103","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,3,0.0025,100,"R_squared",-0.0806556271780476
"104","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,4,0.0025,100,"R_squared",-0.0822933591068837
"105","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,5,0.0025,100,"R_squared",-0.0804558223963765
"106","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,6,0.0025,100,"R_squared",-0.081999084949018
"107","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,7,0.0025,100,"R_squared",-0.0866394569329769
"108","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,8,0.0025,100,"R_squared",-0.0803283575287292
"109","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,9,0.0025,100,"R_squared",-0.0810129174158205
"110","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,10,0.0025,100,"R_squared",-0.0811519533055438
"111","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,1,0.0025,100,"R_squared",-0.0537515151905565
"112","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,2,0.0025,100,"R_squared",-0.0564978745092257
"113","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,3,0.0025,100,"R_squared",-0.0528383097630207
"114","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,4,0.0025,100,"R_squared",-0.0546806453457049
"115","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,5,0.0025,100,"R_squared",-0.0527607532331544
"116","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,6,0.0025,100,"R_squared",-0.0561058786296951
"117","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,7,0.0025,100,"R_squared",-0.0546223272984985
"118","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,8,0.0025,100,"R_squared",-0.054729039267932
"119","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,9,0.0025,100,"R_squared",-0.0557375479586393
"120","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,10,0.0025,100,"R_squared",-0.0536205785123647
"121","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,1,0.0025,100,"R_squared",-0.0115609216634496
"122","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,2,0.0025,100,"R_squared",-0.00934407419530703
"123","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,3,0.0025,100,"R_squared",-0.0112665383978441
"124","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,4,0.0025,100,"R_squared",-0.00981264714549379
"125","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,5,0.0025,100,"R_squared",-0.0105821886627364
"126","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,6,0.0025,100,"R_squared",-0.0119215650849605
"127","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,7,0.0025,100,"R_squared",-0.0116615264111948
"128","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,8,0.0025,100,"R_squared",-0.010251040868734
"129","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,9,0.0025,100,"R_squared",-0.00922971682196616
"130","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,10,0.0025,100,"R_squared",-0.00951946126409209
"131","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,1,0.0025,100,"R_squared",0.0443401029625419
"132","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,2,0.0025,100,"R_squared",0.0432063369577957
"133","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,3,0.0025,100,"R_squared",0.0422301516076437
"134","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,4,0.0025,100,"R_squared",0.0436298694119375
"135","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,5,0.0025,100,"R_squared",0.0416458244205963
"136","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,6,0.0025,100,"R_squared",0.0468420218189017
"137","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,7,0.0025,100,"R_squared",0.045836149744323
"138","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,8,0.0025,100,"R_squared",0.0392678984617106
"139","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,9,0.0025,100,"R_squared",0.03697537622266
"140","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,10,0.0025,100,"R_squared",0.0440260813428865
"141","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,1,0.0025,100,"R_squared",-0.0929304475511346
"142","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,2,0.0025,100,"R_squared",-0.0926895680578714
"143","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,3,0.0025,100,"R_squared",-0.0946090393105132
