"model_number","subset","iteration","eta","nround","correlation"
"1",1,1,0.0025,100,0.519802975018032
"1",1,2,0.0025,100,0.522725271972636
"1",1,3,0.0025,100,0.504684651263362
"1",1,4,0.0025,100,0.501633301525587
"1",1,5,0.0025,100,0.491097772678937
"1",1,6,0.0025,100,0.481370744688649
"1",1,7,0.0025,100,0.494354168367851
"1",1,8,0.0025,100,0.529754604350706
"1",1,9,0.0025,100,0.497884442942013
"1",1,10,0.0025,100,0.509507086839811
"1",2,1,0.0025,100,0.519391430743232
"1",2,2,0.0025,100,0.521740872478612
"1",2,3,0.0025,100,0.520277973658276
"1",2,4,0.0025,100,0.546438276494497
"1",2,5,0.0025,100,0.515782164549
"1",2,6,0.0025,100,0.537123126284631
"1",2,7,0.0025,100,0.536653387610645
"1",2,8,0.0025,100,0.536049026024423
"1",2,9,0.0025,100,0.547834245182847
"1",2,10,0.0025,100,0.524774113936284
"1",3,1,0.0025,100,0.524130402021015
"1",3,2,0.0025,100,0.512549394954927
"1",3,3,0.0025,100,0.522102092059129
"1",3,4,0.0025,100,0.534786062163061
"1",3,5,0.0025,100,0.518727707970355
"1",3,6,0.0025,100,0.538374244663213
"1",3,7,0.0025,100,0.515482400329635
"1",3,8,0.0025,100,0.520462675872497
"1",3,9,0.0025,100,0.524717582343642
"1",3,10,0.0025,100,0.536356618797858
"1",4,1,0.0025,100,0.513040406719133
"1",4,2,0.0025,100,0.500159649405148
"1",4,3,0.0025,100,0.498149874973806
"1",4,4,0.0025,100,0.518359776763022
"1",4,5,0.0025,100,0.520153370020497
"1",4,6,0.0025,100,0.513765300051897
"1",4,7,0.0025,100,0.507633836792982
"1",4,8,0.0025,100,0.524420533248129
"1",4,9,0.0025,100,0.508457255142651
"1",4,10,0.0025,100,0.510957944968113
"1",5,1,0.0025,100,0.518222920819891
"1",5,2,0.0025,100,0.545838698996774
"1",5,3,0.0025,100,0.513862398956317
"1",5,4,0.0025,100,0.532826465085531
"1",5,5,0.0025,100,0.516392401202239
"1",5,6,0.0025,100,0.552785613261664
"1",5,7,0.0025,100,0.51382157058191
"1",5,8,0.0025,100,0.50231527326601
"1",5,9,0.0025,100,0.532309305676377
"1",5,10,0.0025,100,0.507249510559178
"10",1,1,0.121,1080,0.993741362634083
"10",1,2,0.121,1080,0.995188723679381
"10",1,3,0.121,1080,0.995272854871125
"10",1,4,0.121,1080,0.995330338174081
"10",1,5,0.121,1080,0.994908159478859
"10",1,6,0.121,1080,0.994830309575186
"10",1,7,0.121,1080,0.994815082210164
"10",1,8,0.121,1080,0.995068046811585
"10",1,9,0.121,1080,0.995659249258546
"10",1,10,0.121,1080,0.994631402119592
"10",2,1,0.121,1080,0.993737365450765
"10",2,2,0.121,1080,0.993958542927703
"10",2,3,0.121,1080,0.993713572692919
"10",2,4,0.121,1080,0.994289738116921
"10",2,5,0.121,1080,0.99336315295536
"10",2,6,0.121,1080,0.9932765473168
"10",2,7,0.121,1080,0.994420693456107
"10",2,8,0.121,1080,0.994021736492542
"10",2,9,0.121,1080,0.993217350935279
"10",2,10,0.121,1080,0.993261319951779
"10",3,1,0.121,1080,0.994510154225608
"10",3,2,0.121,1080,0.995040066528358
"10",3,3,0.121,1080,0.99461750714901
"10",3,4,0.121,1080,0.994146981569844
"10",3,5,0.121,1080,0.994386622226871
"10",3,6,0.121,1080,0.995198431124582
"10",3,7,0.121,1080,0.994204655214863
"10",3,8,0.121,1080,0.994496068912963
"10",3,9,0.121,1080,0.994612938939504
"10",3,10,0.121,1080,0.994422216192609
"10",4,1,0.121,1080,0.993047375473226
"10",4,2,0.121,1080,0.99364219441938
"10",4,3,0.121,1080,0.993551210913376
"10",4,4,0.121,1080,0.993899536888244
"10",4,5,0.121,1080,0.994695357052683
"10",4,6,0.121,1080,0.994499685412156
"10",4,7,0.121,1080,0.994461045973414
"10",4,8,0.121,1080,0.994607799703809
"10",4,9,0.121,1080,0.994139367887334
"10",4,10,0.121,1080,0.99402363991317
"10",5,1,0.121,1080,0.994185240324461
"10",5,2,0.121,1080,0.994656336929815
"10",5,3,0.121,1080,0.994360545364271
"10",5,4,0.121,1080,0.99454327374453
"10",5,5,0.121,1080,0.994599805337172
"10",5,6,0.121,1080,0.994251289020242
"10",5,7,0.121,1080,0.994983344593653
"10",5,8,0.121,1080,0.99436111639046
"10",5,9,0.121,1080,0.995062526891765
"10",5,10,0.121,1080,0.994092353397829
"11",1,1,0.1605,1080,0.997449416358892
"11",1,2,0.1605,1080,0.998044996673297
"11",1,3,0.1605,1080,0.997788986598872
"11",1,4,0.1605,1080,0.997650798261301
"11",1,5,0.1605,1080,0.99818546911562
"11",1,6,0.1605,1080,0.997597502483726
"11",1,7,0.1605,1080,0.997921464674559
"11",1,8,0.1605,1080,0.997964672322808
"11",1,9,0.1605,1080,0.998140167704681
"11",1,10,0.1605,1080,0.997846089217703
"11",2,1,0.1605,1080,0.997779088811608
"11",2,2,0.1605,1080,0.99748025177306
"11",2,3,0.1605,1080,0.997431904889117
"11",2,4,0.1605,1080,0.997334259410916
"11",2,5,0.1605,1080,0.997429240100238
"11",2,6,0.1605,1080,0.997412299656651
"11",2,7,0.1605,1080,0.997696290014303
"11",2,8,0.1605,1080,0.997519271895928
"11",2,9,0.1605,1080,0.997568570490185
"11",2,10,0.1605,1080,0.99727886987065
"11",3,1,0.1605,1080,0.997849515374832
"11",3,2,0.1605,1080,0.997750727844255
"11",3,3,0.1605,1080,0.997900527047655
"11",3,4,0.1605,1080,0.997213011516932
"11",3,5,0.1605,1080,0.997899956021466
