"model_number","subset","iteration","eta","nround","correlation"
"1",1,1,0.0025,100,0.514121620393401
"1",1,2,0.0025,100,0.527715089148133
"1",1,3,0.0025,100,0.522923418059979
"1",1,4,0.0025,100,0.523498441431605
"1",1,5,0.0025,100,0.527735455748849
"1",1,6,0.0025,100,0.50554366499264
"1",1,7,0.0025,100,0.525575454020543
"1",1,8,0.0025,100,0.536075673913211
"1",1,9,0.0025,100,0.522324221246381
"1",1,10,0.0025,100,0.519086312416612
"1",2,1,0.0025,100,0.518992473779667
"1",2,2,0.0025,100,0.52829430004514
"1",2,3,0.0025,100,0.515434219258258
"1",2,4,0.0025,100,0.545600771418312
"1",2,5,0.0025,100,0.527084866578304
"1",2,6,0.0025,100,0.516034938808358
"1",2,7,0.0025,100,0.527987849324081
"1",2,8,0.0025,100,0.529416937531353
"1",2,9,0.0025,100,0.509141701005168
"1",2,10,0.0025,100,0.542151202214744
"1",3,1,0.0025,100,0.491689237269851
"1",3,2,0.0025,100,0.50205034100496
"1",3,3,0.0025,100,0.535140548823765
"1",3,4,0.0025,100,0.501587214875917
"1",3,5,0.0025,100,0.503356634691421
"1",3,6,0.0025,100,0.496475198096123
"1",3,7,0.0025,100,0.518974962309892
"1",3,8,0.0025,100,0.524221741270128
"1",3,9,0.0025,100,0.520338382505509
"1",3,10,0.0025,100,0.50688671858754
"1",4,1,0.0025,100,0.517296906684518
"1",4,2,0.0025,100,0.481744625858407
"1",4,3,0.0025,100,0.484875752790962
"1",4,4,0.0025,100,0.501543245859418
"1",4,5,0.0025,100,0.468493392132534
"1",4,6,0.0025,100,0.498383567617447
"1",4,7,0.0025,100,0.500051154429369
"1",4,8,0.0025,100,0.500535003952929
"1",4,9,0.0025,100,0.468187903290435
"1",4,10,0.0025,100,0.476525636839336
"1",5,1,0.0025,100,0.528828780557396
"1",5,2,0.0025,100,0.520246066605066
"1",5,3,0.0025,100,0.486002958486682
"1",5,4,0.0025,100,0.517860699874441
"1",5,5,0.0025,100,0.474835399321944
"1",5,6,0.0025,100,0.476893019713681
"1",5,7,0.0025,100,0.506343101656271
"1",5,8,0.0025,100,0.462915989009269
"1",5,9,0.0025,100,0.513670319362575
"1",5,10,0.0025,100,0.482607827113066
"10",1,1,0.121,1080,0.994190760244281
"10",1,2,0.121,1080,0.994659001718694
"10",1,3,0.121,1080,0.994658621034568
"10",1,4,0.121,1080,0.994949273364417
"10",1,5,0.121,1080,0.994795667319762
"10",1,6,0.121,1080,0.995293411813904
"10",1,7,0.121,1080,0.995276090686192
"10",1,8,0.121,1080,0.993921997251651
"10",1,9,0.121,1080,0.995077183230598
"10",1,10,0.121,1080,0.994991529302352
"10",2,1,0.121,1080,0.99377276907444
"10",2,2,0.121,1080,0.994130041126258
"10",2,3,0.121,1080,0.994023259229044
"10",2,4,0.121,1080,0.994600376363361
"10",2,5,0.121,1080,0.994599234310984
"10",2,6,0.121,1080,0.994717436731964
"10",2,7,0.121,1080,0.994652149404434
"10",2,8,0.121,1080,0.994043054803572
"10",2,9,0.121,1080,0.994593333707038
"10",2,10,0.121,1080,0.994578106342017
"10",3,1,0.121,1080,0.994621694674391
"10",3,2,0.121,1080,0.994896167928904
"10",3,3,0.121,1080,0.994560404530179
"10",3,4,0.121,1080,0.994805755449089
"10",3,5,0.121,1080,0.994410224642654
"10",3,6,0.121,1080,0.994264612964636
"10",3,7,0.121,1080,0.994553742557982
"10",3,8,0.121,1080,0.994102060843031
"10",3,9,0.121,1080,0.994912918030428
"10",3,10,0.121,1080,0.994298113167683
