model_number,subset,iteration,eta,nround,correlation
1,1,1,0.0025,100,0.547600678474385
1,1,2,0.0025,100,0.542170837836368
1,1,3,0.0025,100,0.553626072917208
1,1,4,0.0025,100,0.551824195502617
1,1,5,0.0025,100,0.540873850149289
1,1,6,0.0025,100,0.535361853268911
1,1,7,0.0025,100,0.545372810803578
1,1,8,0.0025,100,0.536554284371359
1,1,9,0.0025,100,0.537886496377473
1,1,10,0.0025,100,0.529483376366138
1,2,1,0.0025,100,0.583905772152191
1,2,2,0.0025,100,0.561989195502993
1,2,3,0.0025,100,0.589049191954614
1,2,4,0.0025,100,0.56980674697509
1,2,5,0.0025,100,0.573917888120482
1,2,6,0.0025,100,0.567978021188524
1,2,7,0.0025,100,0.574576015192444
1,2,8,0.0025,100,0.574978647016087
1,2,9,0.0025,100,0.562762119716119
1,2,10,0.0025,100,0.569314579529265
1,3,1,0.0025,100,0.561798073716532
1,3,2,0.0025,100,0.577615411353099
1,3,3,0.0025,100,0.545223287231972
1,3,4,0.0025,100,0.568992108551849
1,3,5,0.0025,100,0.565238968301754
1,3,6,0.0025,100,0.577116647572242
1,3,7,0.0025,100,0.576969079454865
1,3,8,0.0025,100,0.53783463455674
1,3,9,0.0025,100,0.552566846359561
1,3,10,0.0025,100,0.55252116438837
1,4,1,0.0025,100,0.535257522272638
1,4,2,0.0025,100,0.505983470831949
1,4,3,0.0025,100,0.538208181965874
1,4,4,0.0025,100,0.511701196009128
1,4,5,0.0025,100,0.548690973218733
1,4,6,0.0025,100,0.535185469253287
1,4,7,0.0025,100,0.523214106312145
1,4,8,0.0025,100,0.52920780131257
1,4,9,0.0025,100,0.495177199924111
1,4,10,0.0025,100,0.491338251340442
1,5,1,0.0025,100,0.526303472546196
1,5,2,0.0025,100,0.522106975009238
1,5,3,0.0025,100,0.543609674912371
1,5,4,0.0025,100,0.548663531819109
1,5,5,0.0025,100,0.54122385024746
1,5,6,0.0025,100,0.565256120253752
1,5,7,0.0025,100,0.541602328846496
1,5,8,0.0025,100,0.548845376381703
1,5,9,0.0025,100,0.54436970252002
1,5,10,0.0025,100,0.541674992170068
10,1,1,0.121,1080,0.994635018618785
10,1,2,0.121,1080,0.995530197339989
10,1,3,0.121,1080,0.995759559525626
10,1,4,0.121,1080,0.994705254839947
10,1,5,0.121,1080,0.995434264940353
10,1,6,0.121,1080,0.995512685870214
10,1,7,0.121,1080,0.995334525699462
10,1,8,0.121,1080,0.995005233930871
10,1,9,0.121,1080,0.994835258468818
10,1,10,0.121,1080,0.995301977206728
10,2,1,0.121,1080,0.994476844364623
10,2,2,0.121,1080,0.995490796532996
10,2,3,0.121,1080,0.99520794822772
10,2,4,0.121,1080,0.994563450003184
10,2,5,0.121,1080,0.995068237153647
10,2,6,0.121,1080,0.995090316832929
10,2,7,0.121,1080,0.994936330104149
10,2,8,0.121,1080,0.995517634763846
10,2,9,0.121,1080,0.995205283438841
10,2,10,0.121,1080,0.994989435539661
10,3,1,0.121,1080,0.995044254053739
10,3,2,0.121,1080,0.995599291508774
10,3,3,0.121,1080,0.995760511235939
10,3,4,0.121,1080,0.996281287119676
10,3,5,0.121,1080,0.995232121669692
10,3,6,0.121,1080,0.995585777222317
10,3,7,0.121,1080,0.995757656104998
10,3,8,0.121,1080,0.995641547446709
10,3,9,0.121,1080,0.99595504082409
10,3,10,0.121,1080,0.996160039225692
10,4,1,0.121,1080,0.995710831957557
10,4,2,0.121,1080,0.995169499131041
10,4,3,0.121,1080,0.995885375629116
10,4,4,0.121,1080,0.995157888265212
10,4,5,0.121,1080,0.995828273010286
10,4,6,0.121,1080,0.99600452976041
10,4,7,0.121,1080,0.995586157906443
10,4,8,0.121,1080,0.995560652070032
10,4,9,0.121,1080,0.995796485885803
10,4,10,0.121,1080,0.995303309601168
10,5,1,0.121,1080,0.996498848097422
10,5,2,0.121,1080,0.996033652096014
10,5,3,0.121,1080,0.996468964393567
10,5,4,0.121,1080,0.996475816707827
10,5,5,0.121,1080,0.996406341854916
10,5,6,0.121,1080,0.996661400219027
10,5,7,0.121,1080,0.996615147097774
10,5,8,0.121,1080,0.996361611470165
10,5,9,0.121,1080,0.996425566403255
10,5,10,0.121,1080,0.996451452923792
12,1,1,0.2,1080,0.99930372873439
12,1,2,0.2,1080,0.999366351273041
12,1,3,0.2,1080,0.999158878424623
12,1,4,0.2,1080,0.999238822090986
12,1,5,0.2,1080,0.999175628526146
12,1,6,0.2,1080,0.999176009210272
12,1,7,0.2,1080,0.999114528723997
12,1,8,0.2,1080,0.999160020476999
12,1,9,0.2,1080,0.999193901364172
12,1,10,0.2,1080,0.999183622892783
12,2,1,0.2,1080,0.999186287681661
12,2,2,0.2,1080,0.999205892914127
12,2,3,0.2,1080,0.999325808413671
12,2,4,0.2,1080,0.999290595132059
12,2,5,0.2,1080,0.999329805596989
12,2,6,0.2,1080,0.999182671182469
12,2,7,0.2,1080,0.999403277633218
12,2,8,0.2,1080,0.999201895730808
12,2,9,0.2,1080,0.999216361727579
12,2,10,0.2,1080,0.999105963331173
12,3,1,0.2,1080,0.99928107802892
12,3,2,0.2,1080,0.999339893726316
12,3,3,0.2,1080,0.999405752080034
12,3,4,0.2,1080,0.999279745634481
12,3,5,0.2,1080,0.99921502933314
12,3,6,0.2,1080,0.999227591909282
12,3,7,0.2,1080,0.999322572598604
12,3,8,0.2,1080,0.999342177831069
12,3,9,0.2,1080,0.999289643421745
12,3,10,0.2,1080,0.999416601577612
12,4,1,0.2,1080,0.99917448647377
12,4,2,0.2,1080,0.999139273192157
12,4,3,0.2,1080,0.999276129135288
12,4,4,0.2,1080,0.999203608809373
12,4,5,0.2,1080,0.999253668771882
12,4,6,0.2,1080,0.999102537174043
12,4,7,0.2,1080,0.999374726323803
12,4,8,0.2,1080,0.999232540802914
12,4,9,0.2,1080,0.999230256698161
12,4,10,0.2,1080,0.999244722694931
12,5,1,0.2,1080,0.999328092518424
12,5,2,0.2,1080,0.999290595132059
12,5,3,0.2,1080,0.999440965361647
12,5,4,0.2,1080,0.999258617665514
12,5,5,0.2,1080,0.999401945238779
12,5,6,0.2,1080,0.999474846248819
12,5,7,0.2,1080,0.999458096147296
12,5,8,0.2,1080,0.999393189503892
12,5,9,0.2,1080,0.999430686890257
12,5,10,0.2,1080,0.999526809631955
13,1,1,0.0025,2060,0.749661357677576
13,1,2,0.0025,2060,0.753162128896028
13,1,3,0.0025,2060,0.749628618842779
13,1,4,0.0025,2060,0.750974337226558
13,1,5,0.0025,2060,0.756296681985713
13,1,6,0.0025,2060,0.752434451190061
13,1,7,0.0025,2060,0.754702186525895
13,1,8,0.0025,2060,0.750942740444138
13,1,9,0.0025,2060,0.756414884406693
13,1,10,0.0025,2060,0.75330659852167
13,2,1,0.0025,2060,0.769193879474835
13,2,2,0.0025,2060,0.7692134847073
13,2,3,0.0025,2060,0.767770311187383
13,2,4,0.0025,2060,0.767091741733611
13,2,5,0.0025,2060,0.768026130919745
13,2,6,0.0025,2060,0.770758871914924
13,2,7,0.0025,2060,0.767494124854305
13,2,8,0.0025,2060,0.76966231129131
13,2,9,0.0025,2060,0.770576714560854
13,2,10,0.0025,2060,0.76951936440217
13,3,1,0.0025,2060,0.768132912816959
13,3,2,0.0025,2060,0.767040539718726
13,3,3,0.0025,2060,0.767278847981313
13,3,4,0.0025,2060,0.766613221787809
13,3,5,0.0025,2060,0.76872544765836
13,3,6,0.0025,2060,0.768648739807064
13,3,7,0.0025,2060,0.767537332502554
13,3,8,0.0025,2060,0.767736620642273
13,3,9,0.0025,2060,0.768814337401673
13,3,10,0.0025,2060,0.772280466364702
13,4,1,0.0025,2060,0.754024949466562
13,4,2,0.0025,2060,0.756593044577445
13,4,3,0.0025,2060,0.752672378768523
13,4,4,0.0025,2060,0.751963354584707
13,4,5,0.0025,2060,0.752471567892301
13,4,6,0.0025,2060,0.752036445936811
13,4,7,0.0025,2060,0.751552596413251
13,4,8,0.0025,2060,0.751162014500449
13,4,9,0.0025,2060,0.749679249831476
13,4,10,0.0025,2060,0.7534337470196
13,5,1,0.0025,2060,0.786390142793664
13,5,2,0.0025,2060,0.785845574152081
13,5,3,0.0025,2060,0.786279173371069
13,5,4,0.0025,2060,0.788044405661192
13,5,5,0.0025,2060,0.789881016224853
13,5,6,0.0025,2060,0.78448938695485
13,5,7,0.0025,2060,0.790100670965289
13,5,8,0.0025,2060,0.786723622087636
13,5,9,0.0025,2060,0.788068579103164
13,5,10,0.0025,2060,0.789099281373059
14,1,1,0.042,2060,0.987403923654179
14,1,2,0.042,2060,0.986774462452601
14,1,3,0.042,2060,0.986941963467838
14,1,4,0.042,2060,0.987333306748892
14,1,5,0.042,2060,0.98645202299827
14,1,6,0.042,2060,0.98728438883876
14,1,7,0.042,2060,0.986571938497815
14,1,8,0.042,2060,0.987099757037874
14,1,9,0.042,2060,0.987553722857579
14,1,10,0.042,2060,0.986540532057458
14,2,1,0.042,2060,0.986445932052261
14,2,2,0.042,2060,0.986653975926868
14,2,3,0.042,2060,0.986620475723821
14,2,4,0.042,2060,0.986421948952352
14,2,5,0.042,2060,0.986568131656559
14,2,6,0.042,2060,0.986564705499429
14,2,7,0.042,2060,0.986492756199703
14,2,8,0.042,2060,0.987485199714982
14,2,9,0.042,2060,0.985916781117763
14,2,10,0.042,2060,0.985757084127099
14,3,1,0.042,2060,0.988065743006428
14,3,2,0.042,2060,0.988205454080501
14,3,3,0.042,2060,0.987141632291683
14,3,4,0.042,2060,0.988391227933764
14,3,5,0.042,2060,0.988063649243738
14,3,6,0.042,2060,0.98768715264358
14,3,7,0.042,2060,0.988494393331785
14,3,8,0.042,2060,0.989431256964735
14,3,9,0.042,2060,0.988290346640496
14,3,10,0.042,2060,0.988706244047647
14,4,1,0.042,2060,0.987587603744752
14,4,2,0.042,2060,0.987691911195149
14,4,3,0.042,2060,0.988140737779159
14,4,4,0.042,2060,0.987891770361057
14,4,5,0.042,2060,0.987967716844102
14,4,6,0.042,2060,0.987213010565222
14,4,7,0.042,2060,0.987588936139191
14,4,8,0.042,2060,0.987386221842342
14,4,9,0.042,2060,0.988495916068287
14,4,10,0.042,2060,0.988302718874576
14,5,1,0.042,2060,0.989640062207593
14,5,2,0.042,2060,0.990037686776718
14,5,3,0.042,2060,0.989835543506057
14,5,4,0.042,2060,0.989857623185338
14,5,5,0.042,2060,0.989488740267691
14,5,6,0.042,2060,0.989541845703204
14,5,7,0.042,2060,0.990537905717676
14,5,8,0.042,2060,0.99008317852972
14,5,9,0.042,2060,0.989796142699064
14,5,10,0.042,2060,0.990252011939396
15,1,1,0.0815,2060,0.998146448992753
15,1,2,0.0815,2060,0.997933646566576
15,1,3,0.0815,2060,0.99800673791868
15,1,4,0.0815,2060,0.998082113375537
15,1,5,0.0815,2060,0.9979503966681
15,1,6,0.0815,2060,0.998100576555625
15,1,7,0.0815,2060,0.998006166892492
15,1,8,0.0815,2060,0.99806174677482
