"model_number","subset","iteration","eta","nround","correlation"
"1",1,1,0.0025,100,0.429113135877277
"1",1,2,0.0025,100,0.446905092046363
"1",1,3,0.0025,100,0.448003060702348
"1",1,4,0.0025,100,0.522555536584797
"1",1,5,0.0025,100,0.434391037235941
"1",1,6,0.0025,100,0.457726544214254
"1",1,7,0.0025,100,0.473855826444577
"1",1,8,0.0025,100,0.433933793606919
"1",1,9,0.0025,100,0.454198400269557
"1",1,10,0.0025,100,0.514924793230218
"1",2,1,0.0025,100,0.487737473742906
"1",2,2,0.0025,100,0.51521304178132
"1",2,3,0.0025,100,0.474357540724869
"1",2,4,0.0025,100,0.49993171474607
"1",2,5,0.0025,100,0.518014633227154
"1",2,6,0.0025,100,0.529312159805145
"1",2,7,0.0025,100,0.514343205759881
"1",2,8,0.0025,100,0.526648327503028
"1",2,9,0.0025,100,0.532478386294711
"1",2,10,0.0025,100,0.509049719064608
"1",3,1,0.0025,100,0.471427876000428
"1",3,2,0.0025,100,0.47157830621579
"1",3,3,0.0025,100,0.476175280544097
"1",3,4,0.0025,100,0.482926702993749
"1",3,5,0.0025,100,0.49216874980389
"1",3,6,0.0025,100,0.488279512569919
"1",3,7,0.0025,100,0.508668178363475
"1",3,8,0.0025,100,0.462986718160878
"1",3,9,0.0025,100,0.484572693422654
"1",3,10,0.0025,100,0.482523373494594
"1",4,1,0.0025,100,0.479430256717195
"1",4,2,0.0025,100,0.495330861614754
"1",4,3,0.0025,100,0.472379747605438
"1",4,4,0.0025,100,0.489574488374764
"1",4,5,0.0025,100,0.509861384344499
"1",4,6,0.0025,100,0.475951596742665
"1",4,7,0.0025,100,0.478037261078468
"1",4,8,0.0025,100,0.460124498002483
"1",4,9,0.0025,100,0.540921592489255
"1",4,10,0.0025,100,0.477898629740909
"1",5,1,0.0025,100,0.505865723762846
"1",5,2,0.0025,100,0.476387870029854
"1",5,3,0.0025,100,0.500355440161734
"1",5,4,0.0025,100,0.52621861985064
"1",5,5,0.0025,100,0.498011638848337
"1",5,6,0.0025,100,0.491506268536963
"1",5,7,0.0025,100,0.494945418937646
"1",5,8,0.0025,100,0.534893008959354
"1",5,9,0.0025,100,0.487593015505167
"1",5,10,0.0025,100,0.48594466928951
"10",1,1,0.121,1080,0.994660334113133
"10",1,2,0.121,1080,0.995202618649963
"10",1,3,0.121,1080,0.995059862102886
"10",1,4,0.121,1080,0.995052248420375
"10",1,5,0.121,1080,0.994703161077256
"10",1,6,0.121,1080,0.995254582033099
"10",1,7,0.121,1080,0.994808039553842
"10",1,8,0.121,1080,0.995238022273638
"10",1,9,0.121,1080,0.99514741945176
"10",1,10,0.121,1080,0.994609132098248
"10",2,1,0.121,1080,0.996054399380855
"10",2,2,0.121,1080,0.996019376441306
"10",2,3,0.121,1080,0.995762414656567
"10",2,4,0.121,1080,0.996376267808998
"10",2,5,0.121,1080,0.995847687900688
"10",2,6,0.121,1080,0.996071149482379
"10",2,7,0.121,1080,0.996224184500846
"10",2,8,0.121,1080,0.996295372432321
"10",2,9,0.121,1080,0.995691226725091
"10",2,10,0.121,1080,0.996265488728466
"10",3,1,0.121,1080,0.995805812646879
"10",3,2,0.121,1080,0.995507356292456
"10",3,3,0.121,1080,0.995606524507159
"10",3,4,0.121,1080,0.995399432342866
"10",3,5,0.121,1080,0.995722252481323
